x;y;node
1.492629947;ribosomal small subunit biogenesis;40
1.068394677;ribosome biogenesis;40
0.989615229;ribonucleoprotein complex biogenesis;40
2.074775602;ribosomal subunit;40
2.074775602;intracellular non-membrane-bounded organelle;40
2.074775602;non-membrane-bounded organelle;40
1.863184342;RNA binding;40
1.408156589;GDP-dissociation inhibitor activity;40
1.408156589;Tat protein binding;40
1.408156589;protein binding;40
1.408156589;unfolded protein binding;40
1.408156589;ribosomal small subunit binding;40
1.408156589;chromo shadow domain binding;40
1.408156589;ribosomal large subunit binding;40
